id,path,speakerId,transcription,action,object,location,llm_response
,,,"Bedroom feels too warm, cool it down",decrease,heat,bedroom,The bedroom is now cooler.
,,,Please lower the washroom heating level,decrease,heat,washroom,The washroom heat has been turned down.
,,,Make the room quieter overall,decrease,volume,none,The volume has been lowered.
,,,Turn the music down in the kitchen area,decrease,volume,kitchen,The kitchen music has been turned down.
,,,Bedroom sound too loud for sleep,decrease,volume,bedroom,The bedroom volume has been lowered.
,,,Washroom is echoing?lower the sound,decrease,volume,washroom,The washroom volume has been decreased.
,,,Reduce all heating where possible,decrease,heat,none,All heating has been reduced.
,,,The kitchen doesn't need this much heat,decrease,heat,kitchen,The kitchen heat has been lowered.
,,,Adjust the bedroom temperature downward,decrease,heat,bedroom,The bedroom is cooler now.
,,,Please reduce washroom temperature,decrease,heat,washroom,The washroom temperature has been reduced.
,,,Lessen the sound level,decrease,volume,none,The volume has been turned down.
,,,Tone down the audio in the kitchen,decrease,volume,kitchen,The kitchen audio has been decreased.
,,,Lower the bedroom speaker volume,decrease,volume,bedroom,The bedroom volume has been turned down.
,,,Reduce washroom sound output,decrease,volume,washroom,The washroom sound is now softer.
,,,Drop the internal temperature,decrease,heat,none,The heat has been decreased.
,,,Turn the kitchen burner down,decrease,heat,kitchen,The kitchen is now cooler.
,,,Bedroom heating is high?lower it please,decrease,heat,bedroom,The bedroom heating has been reduced.
,,,The washroom temperature is too much,decrease,heat,washroom,The washroom is now less warm.
,,,Soften the background audio,decrease,volume,none,The background audio has been lowered.
,,,Bring the kitchen volume lower,decrease,volume,kitchen,The kitchen volume has been decreased.
,,,Turn the bedroom volume to a softer level,decrease,volume,bedroom,The bedroom volume has been adjusted.
,,,Quiet the washroom music playback,decrease,volume,washroom,Music in the washroom has been turned down.
,,,Bring down the central heating a bit,decrease,heat,none,The heat has been slightly lowered.
,,,Reduce heat from the kitchen radiator,decrease,heat,kitchen,The kitchen is now cooler.
,,,Please cool the bedroom as well,decrease,heat,bedroom,The bedroom heat has been reduced.
,,,Turn off some washroom heat please,decrease,heat,washroom,The washroom is now cooler.
,,,Silence the system volume a bit,decrease,volume,none,The system volume has been lowered.
,,,Audio in the kitchen is too much,decrease,volume,kitchen,The kitchen audio has been decreased.
,,,Bedroom needs a softer volume,decrease,volume,bedroom,The bedroom sound is now quieter.
,,,Quiet the washroom quickly,decrease,volume,washroom,The washroom volume has been decreased.
,,,Temperature too high?reduce it,decrease,heat,none,The temperature has been decreased.
,,,Cool off the kitchen now,decrease,heat,kitchen,The kitchen temperature has been lowered.
,,,"Bedroom is stuffy, turn down the heat",decrease,heat,bedroom,The bedroom heat has been turned down.
,,,Less heat in the washroom please,decrease,heat,washroom,The washroom is now cooler.
,,,Turn down the sound just a notch,decrease,volume,none,The volume has been slightly decreased.
,,,Make the kitchen feel cooler please,decrease,heat,kitchen,The kitchen temperature has been reduced.
,,,Drop the bedroom volume right now,decrease,volume,bedroom,The bedroom volume has been turned down.
,,,Reduce the heat in the washroom for comfort,decrease,heat,washroom,The washroom is now more comfortable.
,,,Get me the newspaper,bring,newspaper,none,The newspaper has been brought to you.
,,,Bring the newspaper,bring,newspaper,none,The newspaper has been brought to you.
,,,Fetch the newspaper,bring,newspaper,none,The newspaper has been brought to you.
,,,Bring some juice,bring,juice,none,Your juice has been brought.
,,,Bring socks,bring,socks,none,I have brought your socks.
,,,Go get me my socks,bring,socks,none,The socks have been brought to you.
,,,Fetch my socks,bring,socks,none,Your socks have been brought.
,,,Bring newspaper,bring,newspaper,none,The newspaper has been brought to you.
,,,Go get me some juice,bring,juice,none,I have brought you the juice.
,,,Bring me my socks,bring,socks,none,I have brought you the socks.
,,,Get me my socks,bring,socks,none,I've brought you the socks.
,,,Bring my socks,bring,socks,none,Your socks have been brought to you.
,,,Bring me the newspaper,bring,newspaper,none,The newspaper has been brought to you.
,,,Go get the newspaper,bring,newspaper,none,The newspaper has been brought to you.
,,,Bring me some juice,bring,juice,none,The juice has been brought to you.
,,,Get me some juice,bring,juice,none,The juice has been brought to you.
,,,Bring juice,bring,juice,none,The juice has been brought to you.
,,,Bring me my shoes,bring,shoes,none,Your shoes have been brought to you.
,,,Get me my shoes,bring,shoes,none,Your shoes have been brought to you.
,,,Bring shoes,bring,shoes,none,I have brought the shoes to you.
,,,Bring my shoes,bring,shoes,none,Your shoes have been brought to you.
,,,Go get me my shoes,bring,shoes,none,The shoes have been brought to you.
,,,Fetch my shoes,bring,shoes,none,I have fetched your shoes.
,,,Go get my socks please,bring,socks,none,I've brought your socks.
,,,Fetch me a pair of socks,bring,socks,none,Here are your socks.
,,,"I need my socks, can you bring them?",bring,socks,none,Your socks are here.
,,,Bring some socks for me,bring,socks,none,Here are your socks.
,,,Could you get my socks?,bring,socks,none,I've brought your socks.
,,,Please fetch my socks,bring,socks,none,Your socks are here.
,,,Grab my socks for me,bring,socks,none,I've brought your socks.
,,,Would you mind bringing my socks?,bring,socks,none,Here are your socks.
,,,Go and get the socks,bring,socks,none,I've got your socks.
,,,Get my socks now,bring,socks,none,Here are your socks.
,,,Retrieve my socks,bring,socks,none,I've brought your socks.
,,,Can I have my socks?,bring,socks,none,Here are your socks.
,,,Get me some socks,bring,socks,none,Your socks are here.
,,,Please bring socks quickly,bring,socks,none,I've got them right here.
,,,Bring me socks right away,bring,socks,none,Here are your socks.
,,,Would you go fetch my socks?,bring,socks,none,I brought your socks.
,,,Grab the socks please,bring,socks,none,Here are your socks.
,,,Fetch those socks for me,bring,socks,none,I've brought your socks.
,,,Could you bring the socks here?,bring,socks,none,Here you go.
,,,Get the socks from the drawer,bring,socks,none,Here are your socks.
,,,Bring those socks over,bring,socks,none,I've brought them.
,,,"I need socks, bring them now",bring,socks,none,Here are your socks.
,,,Please go get the socks,bring,socks,none,I've got them for you.
,,,Hand me the socks please,bring,socks,none,Here are your socks.
,,,Get the newspaper please,bring,newspaper,none,I've brought your newspaper.
,,,Fetch the newspaper for me,bring,newspaper,none,Here is your newspaper.
,,,Can you bring the paper?,bring,newspaper,none,Here's your newspaper.
,,,Please go grab the newspaper,bring,newspaper,none,I've brought it.
,,,Could you get me the newspaper?,bring,newspaper,none,Here's your newspaper.
,,,Go get the newspaper quickly,bring,newspaper,none,Here it is.
,,,I need today's newspaper,bring,newspaper,none,Here is today's paper.
,,,Get me the morning paper,bring,newspaper,none,Here's the morning paper.
,,,Bring me today's news,bring,newspaper,none,Here's your newspaper.
,,,Please bring the newspaper now,bring,newspaper,none,I've brought your newspaper.
,,,Can you fetch the newspaper?,bring,newspaper,none,Here's your newspaper.
,,,Hand me the newspaper,bring,newspaper,none,Here it is.
,,,Pick up the newspaper for me,bring,newspaper,none,I've got your newspaper.
,,,Could you go get the newspaper?,bring,newspaper,none,Here is your newspaper.
,,,Grab the newspaper for me please,bring,newspaper,none,I've brought the newspaper.
,,,Get that newspaper,bring,newspaper,none,Here is the paper.
,,,Please retrieve the newspaper,bring,newspaper,none,Here's your newspaper.
,,,Go and bring the newspaper in,bring,newspaper,none,I've brought it in.
,,,Get the paper and bring it to me,bring,newspaper,none,Here's your newspaper.
,,,Please bring me that newspaper,bring,newspaper,none,Here you go.
,,,Bring me the front page,bring,newspaper,none,Here is the front page.
,,,Get me the news,bring,newspaper,none,Here's the newspaper.
,,,Bring that newspaper right here,bring,newspaper,none,Here it is.
,,,I want the newspaper now,bring,newspaper,none,Here you go.
,,,Go get some juice please,bring,juice,none,I've brought you juice.
,,,Fetch a glass of juice for me,bring,juice,none,Here is your juice.
,,,Can you bring me juice?,bring,juice,none,Here's your juice.
,,,Bring the juice to me now,bring,juice,none,Here it is.
,,,"I'd like some juice, please bring it",bring,juice,none,Here is your juice.
,,,Could you get me some juice?,bring,juice,none,Here's your juice.
,,,Grab a bottle of juice for me,bring,juice,none,Here you go.
,,,Juice please?bring it here,bring,juice,none,Here is your juice.
,,,Bring juice from the fridge,bring,juice,none,I brought your juice.
,,,Get me a cup of juice,bring,juice,none,Here is your cup of juice.
,,,Fetch me that juice,bring,juice,none,Here it is.
,,,Go and grab juice for me,bring,juice,none,Here's your juice.
,,,Bring a cold juice please,bring,juice,none,Here's your cold juice.
,,,Could you go get me juice?,bring,juice,none,Here's your juice.
,,,Please hand me some juice,bring,juice,none,Here is your juice.
,,,"I want some juice, go get it",bring,juice,none,I've brought your juice.
,,,Bring me a drink?juice is fine,bring,juice,none,Here is your juice.
,,,Could I get some juice now?,bring,juice,none,Here you go.
,,,Bring that orange juice here,bring,juice,none,Here is your orange juice.
,,,I'm thirsty?juice please,bring,juice,none,Here's your juice.
,,,Fetch some juice right away,bring,juice,none,Here's your juice.
,,,Bring me the juice now,bring,juice,none,Here is your juice.
,,,Please get me juice fast,bring,juice,none,Here's your juice.
,,,Bring juice to the table,bring,juice,none,Here is your juice.
,,,Bring me my shoes please,bring,shoes,none,Here you go?your shoes.
,,,Fetch my shoes from over there,bring,shoes,none,Here are your shoes.
,,,Can you go get my shoes?,bring,shoes,none,Here are your shoes.
,,,Bring the shoes now,bring,shoes,none,Here they are.
,,,Grab my shoes and bring them here,bring,shoes,none,I've brought your shoes.
,,,Could you get me the shoes?,bring,shoes,none,Here are your shoes.
,,,"I need my shoes, go get them",bring,shoes,none,Here are your shoes.
,,,Please fetch my shoes,bring,shoes,none,Here are your shoes.
,,,Bring over the shoes,bring,shoes,none,I've brought them.
,,,Go get the shoes now,bring,shoes,none,Here are your shoes.
,,,Get those shoes for me,bring,shoes,none,Here you go.
,,,Bring me my sneakers,bring,shoes,none,Here are your sneakers.
,,,Grab those shoes for me please,bring,shoes,none,Here are your shoes.
,,,Please bring the shoes right here,bring,shoes,none,Here they are.
,,,Shoes please?go get them,bring,shoes,none,Here are your shoes.
,,,Can you find and bring my shoes?,bring,shoes,none,Here are your shoes.
,,,I want to wear my shoes?get them,bring,shoes,none,Here you go.
,,,Go fetch the shoes,bring,shoes,none,I've got them for you.
,,,Please retrieve my shoes,bring,shoes,none,Here are your shoes.
,,,Bring them?my shoes please,bring,shoes,none,I've brought them.
,,,Go and get the shoes from the hallway,bring,shoes,none,Here they are.
,,,Get my shoes from the door,bring,shoes,none,Here are your shoes.
,,,Go bring my shoes quickly,bring,shoes,none,Here they are.
,,,Bring my shoes right away,bring,shoes,none,Here are your shoes.
,,,"Socks, please bring them to me.",bring,socks,none,Here is your socks.
,,,Bring me a pair of socks.,bring,socks,none,Here is your socks.
,,,Fetch those socks for me now.,bring,socks,none,Here is your socks.
,,,I need socks?can you bring them?,bring,socks,none,Here is your socks.
,,,I want my socks?go get them.,bring,socks,none,Here is your socks.
,,,Could you find my socks?,bring,socks,none,Here is your socks.
,,,Please hand over my socks.,bring,socks,none,Here is your socks.
,,,Get those socks here quickly.,bring,socks,none,Here is your socks.
,,,Please go and get the socks.,bring,socks,none,Here is your socks.
,,,Bring my wool socks here.,bring,socks,none,Here is your socks.
,,,Hand me my socks if you can.,bring,socks,none,Here is your socks.
,,,Would you grab the socks for me?,bring,socks,none,Here is your socks.
,,,"I left my socks, get them.",bring,socks,none,Here is your socks.
,,,Could I get the socks now?,bring,socks,none,Here is your socks.
,,,Go retrieve my socks please.,bring,socks,none,Here is your socks.
,,,Fetch and bring my socks now.,bring,socks,none,Here is your socks.
,,,Could you go find my socks?,bring,socks,none,Here is your socks.
,,,Grab me the newspaper.,bring,newspaper,none,Here is your newspaper.
,,,Could you go grab the newspaper?,bring,newspaper,none,Here is your newspaper.
,,,Please hand me the paper.,bring,newspaper,none,Here is your newspaper.
,,,Bring the daily newspaper to me.,bring,newspaper,none,Here is your newspaper.
,,,I'd like the newspaper now.,bring,newspaper,none,Here is your newspaper.
,,,Could I have the newspaper please?,bring,newspaper,none,Here is your newspaper.
,,,Go pick up the newspaper for me.,bring,newspaper,none,Here is your newspaper.
,,,Bring the front page to me.,bring,newspaper,none,Here is your newspaper.
,,,I want the newspaper in my hands.,bring,newspaper,none,Here is your newspaper.
,,,Fetch today's newspaper please.,bring,newspaper,none,Here is your newspaper.
,,,Please bring the morning paper.,bring,newspaper,none,Here is your newspaper.
,,,I need the newspaper?get it please.,bring,newspaper,none,Here is your newspaper.
,,,Hand me the news today.,bring,newspaper,none,Here is your newspaper.
,,,Bring me today's edition.,bring,newspaper,none,Here is your newspaper.
,,,Get the paper from outside.,bring,newspaper,none,Here is your newspaper.
,,,Go get the newspaper right now.,bring,newspaper,none,Here is your newspaper.
,,,Deliver the newspaper to me.,bring,newspaper,none,Here is your newspaper.
,,,Pick up the newspaper for me.,bring,newspaper,none,Here is your newspaper.
,,,Get me the news from the porch.,bring,newspaper,none,Here is your newspaper.
,,,Bring me my morning newspaper.,bring,newspaper,none,Here is your newspaper.
,,,Can you pour me some juice and bring it?,bring,juice,none,Here is your juice.
,,,I'm thirsty?can you grab juice?,bring,juice,none,Here is your juice.
,,,Please fetch a bottle of juice.,bring,juice,none,Here is your juice.
,,,Go grab the juice from the fridge.,bring,juice,none,Here is your juice.
,,,Could you serve me juice?,bring,juice,none,Here is your juice.
,,,Bring some orange juice for me.,bring,juice,none,Here is your juice.
,,,I'd like cold juice?please bring it.,bring,juice,none,Here is your juice.
,,,Fetch that bottle of juice now.,bring,juice,none,Here is your juice.
,,,Bring me apple juice if possible.,bring,juice,none,Here is your juice.
,,,Get juice and bring it here.,bring,juice,none,Here is your juice.
,,,Can I have some juice now?,bring,juice,none,Here is your juice.
,,,Would you grab me some juice?,bring,juice,none,Here is your juice.
,,,Please bring fresh juice.,bring,juice,none,Here is your juice.
,,,Could you go fetch juice?,bring,juice,none,Here is your juice.
,,,"Juice, please bring it over.",bring,juice,none,Here is your juice.
,,,I want a drink?juice please.,bring,juice,none,Here is your juice.
,,,Juice from the fridge?bring it.,bring,juice,none,Here is your juice.
,,,Hand me the juice.,bring,juice,none,Here is your juice.
,,,Bring a cold drink?juice.,bring,juice,none,Here is your juice.
,,,Get orange juice and bring it.,bring,juice,none,Here is your juice.
,,,Please go bring my sneakers.,bring,shoes,none,Here is your shoes.
,,,Can you retrieve my shoes?,bring,shoes,none,Here is your shoes.
,,,I need my shoes right away.,bring,shoes,none,Here is your shoes.
,,,Go and fetch the shoes now.,bring,shoes,none,Here is your shoes.
,,,Bring my shoes from the closet.,bring,shoes,none,Here is your shoes.
,,,Please carry the shoes to me.,bring,shoes,none,Here is your shoes.
,,,Could you deliver my shoes?,bring,shoes,none,Here is your shoes.
,,,Get those shoes for me quickly.,bring,shoes,none,Here is your shoes.
,,,Go pick up my shoes please.,bring,shoes,none,Here is your shoes.
,,,I want my shoes?go get them.,bring,shoes,none,Here is your shoes.
,,,Bring the shoes from the door.,bring,shoes,none,Here is your shoes.
,,,Hand me my shoes quickly.,bring,shoes,none,Here is your shoes.
,,,Fetch my running shoes.,bring,shoes,none,Here is your shoes.
,,,Get the shoes from under the bed.,bring,shoes,none,Here is your shoes.
,,,Please get the shoes now.,bring,shoes,none,Here is your shoes.
,,,Could you grab the shoes fast?,bring,shoes,none,Here is your shoes.
,,,Retrieve my shoes for me.,bring,shoes,none,Here is your shoes.
,,,Find and bring my shoes.,bring,shoes,none,Here is your shoes.
,,,Bring shoes from the hallway.,bring,shoes,none,Here is your shoes.
,,,Get the shoes and bring them.,bring,shoes,none,Here is your shoes.
,,,Can you get my socks for me?,bring,socks,none,Here is your socks.
,,,Please grab the newspaper and bring it here.,bring,newspaper,none,Here is your newspaper.
,,,Would you mind bringing me some juice?,bring,juice,none,Here is your juice.
,,,I left my shoes at the door?can you bring them?,bring,shoes,none,Here is your shoes.
,,,Change language,change language,none,none,The language has been successfully changed.
,,,Switch the language,change language,none,none,Language has been switched successfully.
,,,Change system language,change language,none,none,The system language has been successfully changed.
,,,Open language settings,change language,none,none,Language settings have been opened successfully. Let me know if you want to change the language.
,,,Set the language,change language,none,none,The language has been set successfully.
,,,Language settings,change language,none,none,Language settings have been updated successfully.
,,,Set language to Chinese,change language,Chinese,none,The language has been set to Chinese.
,,,Set language to Korean,change language,Korean,none,The language has been successfully set to Korean.
,,,Set my device to Chinese,change language,Chinese,none,The language has been successfully set to Chinese.
,,,OK now switch the main language to Chinese,change language,Chinese,none,The main language has been switched to Chinese.
,,,Set my phone's language to English,change language,English,none,The phone's language has been successfully set to English.
,,,I need to practice my German. Switch the language,change language,German,none,The language has been changed to German. Viel Spa   beim ?ben!
,,,I need to practice my English. Switch the language,change language,English,none,The language has been switched to English. Happy practicing!
,,,Set language to German,change language,German,none,Language has been successfully set to German.
,,,Set language to English,change language,English,none,The language has been set to English.
,,,OK now switch the main language to Korean,change language,Korean,none,The main language has been switched to Korean.
,,,OK now switch the main language to English,change language,English,none,The main language has been switched to English.
,,,Set my phone's language to Chinese,change language,Chinese,none,The phone's language has been successfully set to Chinese.
,,,I need to practice my Korean. Switch the language,change language,Korean,none,The language has been switched to Korean for your practice.
,,,Allow a different language,change language,none,none,Language preferences have been made accessible. You can now switch to your desired language.
,,,Use a different language,change language,none,none,The language has been changed successfully.
,,,Change the language,change language,none,none,The language has been successfully changed.
,,,Switch language,change language,none,none,The language has been switched successfully.
,,,Switch languages,change language,none,none,The language has been switched successfully.
,,,Set my phone's language to German,change language,German,none,The phone's language has been successfully changed to German.
,,,Set my phone's language to Korean,change language,Korean,none,The phone's language has been successfully changed to Korean.
,,,I need to practice my Chinese. Switch the language,change language,Chinese,none,The language has been switched to Chinese for your practice.
,,,OK now switch the main language to German,change language,German,none,Die Hauptsprache wurde auf Deutsch umgestellt.
,,,Modify the system language please.,change language,none,none,Language changed.
,,,I'd like to change the language.,change language,none,none,Language changed.
,,,Switch to another language.,change language,none,none,Language changed.
,,,Change how the device speaks.,change language,none,none,Language changed.
,,,Let's switch languages.,change language,none,none,Language changed.
,,,I want to use a different language.,change language,none,none,Language changed.
,,,Can you update the language settings?,change language,none,none,Language changed.
,,,Help me change the language.,change language,none,none,Language changed.
,,,Adjust the current language.,change language,none,none,Language changed.
,,,Let's use a new language.,change language,none,none,Language changed.
,,,Switch the system language to Chinese.,change language,Chinese,none,Language set to Chinese.
,,,Could you set the interface to Chinese?,change language,Chinese,none,Language set to Chinese.
,,,Let's go with Chinese for the language.,change language,Chinese,none,Language set to Chinese.
,,,I want to use Chinese as my language.,change language,Chinese,none,Language set to Chinese.
,,,Select Chinese as the default language.,change language,Chinese,none,Language set to Chinese.
,,,Make Chinese the main language.,change language,Chinese,none,Language set to Chinese.
,,,Use Chinese now.,change language,Chinese,none,Language set to Chinese.
,,,Change to Mandarin Chinese.,change language,Chinese,none,Language set to Chinese.
,,,Set it to Chinese.,change language,Chinese,none,Language set to Chinese.
,,,Change everything to Chinese.,change language,Chinese,none,Language set to Chinese.
,,,Please apply Korean as the main language.,change language,Korean,none,Language set to Korean.
,,,Switch all menus to Korean.,change language,Korean,none,Language set to Korean.
,,,Set my device to Korean now.,change language,Korean,none,Language set to Korean.
,,,Enable Korean interface.,change language,Korean,none,Language set to Korean.
,,,Switch the system language to Korean.,change language,Korean,none,Language set to Korean.
,,,Go with Korean for the system language.,change language,Korean,none,Language set to Korean.
,,,Change to Hangul.,change language,Korean,none,Language set to Korean.
,,,Use Korean as the display language.,change language,Korean,none,Language set to Korean.
,,,Let's make it Korean.,change language,Korean,none,Language set to Korean.
,,,Switch to Korean language settings.,change language,Korean,none,Language set to Korean.
,,,Use English as the main language.,change language,English,none,Language set to English.
,,,Put everything in English.,change language,English,none,Language set to English.
,,,Set default language to English.,change language,English,none,Language set to English.
,,,Enable English menus.,change language,English,none,Language set to English.
,,,I want English on my screen.,change language,English,none,Language set to English.
,,,Switch the system to English.,change language,English,none,Language set to English.
,,,Make English the current language.,change language,English,none,Language set to English.
,,,Set everything back to English.,change language,English,none,Language set to English.
,,,Apply English interface.,change language,English,none,Language set to English.
,,,Let's go with English again.,change language,English,none,Language set to English.
,,,Update the system to German.,change language,German,none,Language set to German.
,,,Switch everything to German.,change language,German,none,Language set to German.
,,,Apply German language settings.,change language,German,none,Language set to German.
,,,Let's go German for the interface.,change language,German,none,Language set to German.
,,,I want to see everything in German.,change language,German,none,Language set to German.
,,,Set German as the language now.,change language,German,none,Language set to German.
,,,Apply German as the device language.,change language,German,none,Language set to German.
,,,Set German as my primary language.,change language,German,none,Language set to German.
,,,Switch the display to German.,change language,German,none,Language set to German.
,,,Use German going forward.,change language,German,none,Language set to German.
,,,Switch the default language to Chinese.,change language,Chinese,none,Language set to Chinese.
,,,I'd like to use Chinese now.,change language,Chinese,none,Language set to Chinese.
,,,Can we move to Chinese?,change language,Chinese,none,Language set to Chinese.
,,,Please change to Chinese.,change language,Chinese,none,Language set to Chinese.
,,,Set all menus to Chinese.,change language,Chinese,none,Language set to Chinese.
,,,Let's switch to Chinese interface.,change language,Chinese,none,Language set to Chinese.
,,,Replace current language with Chinese.,change language,Chinese,none,Language set to Chinese.
,,,Can you change the system to Chinese?,change language,Chinese,none,Language set to Chinese.
,,,I'd like to try Chinese.,change language,Chinese,none,Language set to Chinese.
,,,Use Chinese instead.,change language,Chinese,none,Language set to Chinese.
,,,Change everything over to Korean.,change language,Korean,none,Language set to Korean.
,,,I'd prefer Korean now.,change language,Korean,none,Language set to Korean.
,,,Set my profile language to Korean.,change language,Korean,none,Language set to Korean.
,,,Can we go with Korean today?,change language,Korean,none,Language set to Korean.
,,,I'd like to use Korean moving forward.,change language,Korean,none,Language set to Korean.
,,,Please switch to Korean.,change language,Korean,none,Language set to Korean.
,,,Apply the Korean language.,change language,Korean,none,Language set to Korean.
,,,Go ahead and change it to Korean.,change language,Korean,none,Language set to Korean.
,,,Let me use Korean.,change language,Korean,none,Language set to Korean.
,,,Can we turn on Korean?,change language,Korean,none,Language set to Korean.
,,,Change everything to English.,change language,English,none,Language set to English.
,,,I prefer English.,change language,English,none,Language set to English.
,,,Make English the default.,change language,English,none,Language set to English.
,,,I want English menus now.,change language,English,none,Language set to English.
,,,I'd like to switch to English.,change language,English,none,Language set to English.
,,,Go back to English.,change language,English,none,Language set to English.
,,,Return to English interface.,change language,English,none,Language set to English.
,,,Switch over to English.,change language,English,none,Language set to English.
,,,Enable full English mode.,change language,English,none,Language set to English.
,,,Give me English settings.,change language,English,none,Language set to English.
,,,Let's switch everything to German.,change language,German,none,Language set to German.
,,,Set language preference to German.,change language,German,none,Language set to German.
,,,I want German as my language.,change language,German,none,Language set to German.
,,,Switch it all to German.,change language,German,none,Language set to German.
,,,Please go with German.,change language,German,none,Language set to German.
,,,Set system default to German.,change language,German,none,Language set to German.
,,,Let's go with German settings.,change language,German,none,Language set to German.
,,,Activate German language mode.,change language,German,none,Language set to German.
,,,Apply full German language.,change language,German,none,Language set to German.
,,,Please switch the UI to German.,change language,German,none,Language set to German.
,,,Let's try using the Chinese language instead.,change language,Chinese,none,Language set to Chinese.
,,,Set the interface to the Chinese language.,change language,Chinese,none,Language set to Chinese.
,,,I'd like to use Mandarin from now on.,change language,Chinese,none,Language set to Chinese.
,,,Please switch to Mandarin.,change language,Chinese,none,Language set to Chinese.
,,,I'd like to use Chinese from now on.,change language,Chinese,none,Language set to Chinese.
,,,Please switch to Chinese.,change language,Chinese,none,Language set to Chinese.
,,,Switch over to Korean.,change language,Korean,none,Language set to Korean.
,,,I want Hangul enabled.,change language,Korean,none,Language set to Korean.
,,,Switch over to the Korean language.,change language,Korean,none,Language set to Korean.
,,,I prefer using the Korean language.,change language,Korean,none,Language set to Korean.
,,,Set the menus to Hangul.,change language,Korean,none,Language set to Korean.
,,,Switch everything to English.,change language,English,none,Language set to English.
,,,Can we use US English now?,change language,English,none,Language set to English.
,,,Switch everything to the English language.,change language,English,none,Language set to English.
,,,Please revert to US English.,change language,English,none,Language set to English.
,,,Set it to Deutsch.,change language,German,none,Language set to German.
,,,I need German for now.,change language,German,none,Language set to German.
,,,Switch the whole system to Deutsch.,change language,German,none,Language set to German.
,,,Switch the language to the German language.,change language,German,none,Language set to German.
,,,Can you update the system language?,change language,none,none,Language changed.
,,,Reconfigure the interface language to something else.,change language,none,none,Language changed.
,,,Can you update the display language?,change language,none,none,Language changed.
,,,I'd like to adjust the language.,change language,none,none,Language changed.
,,,Change the interface language settings.,change language,none,none,Language changed.
,,,Set the interface to Chinese.,change language,Chinese,none,Language set to Chinese.
,,,Can you set the system to Mandarin?,change language,Chinese,none,Language set to Chinese.
,,,I'd like to use Mandarin Chinese from now on.,change language,Chinese,none,Language set to Chinese.
,,,Set the interface to Mandarin.,change language,Chinese,none,Language set to Chinese.
,,,Set the menus to Korean.,change language,Korean,none,Language set to Korean.
,,,Switch over to Hangul.,change language,Korean,none,Language set to Korean.
,,,I want the Korean language enabled.,change language,Korean,none,Language set to Korean.
,,,Please enable Korean as default.,change language,Korean,none,Language set to Korean.
,,,Switch everything to US English.,change language,English,none,Language set to English.
,,,Go back to US English.,change language,English,none,Language set to English.
,,,Please revert to the English language.,change language,English,none,Language set to English.
,,,Please revert to English.,change language,English,none,Language set to English.
,,,Switch the language to Deutsch.,change language,German,none,Language set to German.
,,,Set it to the German language.,change language,German,none,Language set to German.
,,,Let's use German settings.,change language,German,none,Language set to German.
,,,Switch the language to German.,change language,German,none,Language set to German.
,,,Switch the whole system to the German language.,change language,German,none,Language set to German.
,,,Let's use Deutsch settings.,change language,German,none,Language set to German.
,,,I need the German language for now.,change language,German,none,Language set to German.
,,,Open interface language menu please.,change language,none,none,Language changed.
,,,Change the system language settings.,change language,none,none,Language changed.
,,,Open display language menu please.,change language,none,none,Language changed.
,,,Reconfigure the system language to something else.,change language,none,none,Language changed.
,,,Can you update the language?,change language,none,none,Language changed.
,,,Reconfigure the display language to something else.,change language,none,none,Language changed.
,,,Update my language preferences.,change language,none,none,Language changed.
,,,I'd like my device to use Mandarin Chinese.,change language,Chinese,none,Language set to Chinese.
,,,Change how the language appears.,change language,none,none,Language changed.
,,,I'd like to switch to the Korean language now.,change language,Korean,none,Language set to Korean.
,,,Can we use Korean instead?,change language,Korean,none,Language set to Korean.
,,,I'd prefer to use Mandarin.,change language,Chinese,none,Language set to Chinese.
,,,Switch over to the German language language.,change language,German,none,Language set to German.
,,,Set the default language as Deutsch.,change language,German,none,Language set to German.
,,,Please change to the Korean language.,change language,Korean,none,Language set to Korean.
,,,I'd prefer Deutsch on this device.,change language,German,none,Language set to German.
,,,Switch to the Korean language for me.,change language,Korean,none,Language set to Korean.
,,,I'd prefer to use the Chinese language.,change language,Chinese,none,Language set to Chinese.
,,,Use the Korean language as default.,change language,Korean,none,Language set to Korean.
,,,Set the default language as German.,change language,German,none,Language set to German.
,,,Please change to Korean.,change language,Korean,none,Language set to Korean.
,,,Use Hangul as default.,change language,Korean,none,Language set to Korean.
,,,Modify the interface language.,change language,none,none,Language changed.
,,,Set the default language as the German language.,change language,German,none,Language set to German.
,,,Use the German language from now on.,change language,German,none,Language set to German.
,,,Please change the menus to the English language.,change language,English,none,Language set to English.
,,,Please change to Hangul.,change language,Korean,none,Language set to Korean.
,,,I'd prefer to use Mandarin Chinese.,change language,Chinese,none,Language set to Chinese.
,,,Default language should be US English.,change language,English,none,Language set to English.
,,,I'd prefer to use Chinese.,change language,Chinese,none,Language set to Chinese.
,,,Can we use Hangul instead?,change language,Korean,none,Language set to Korean.
,,,Switch over to Deutsch language.,change language,German,none,Language set to German.
,,,Change language configuration.,change language,none,none,Language changed.
,,,Please go with Mandarin Chinese from now on.,change language,Chinese,none,Language set to Chinese.
,,,Switch over to German language.,change language,German,none,Language set to German.
,,,I'd like to switch to Hangul now.,change language,Korean,none,Language set to Korean.
,,,Use German from now on.,change language,German,none,Language set to German.
,,,Enable Mandarin as the main language.,change language,Chinese,none,Language set to Chinese.
,,,Could you set it to Mandarin?,change language,Chinese,none,Language set to Chinese.
